procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
 5  2      0 3693480 814180 2314500    0    0     5    25   44  105  0  0 100  0  0
 0  0      0 3694984 814372 2312772    0    0     2   147  175  436  0  0 99  0  0
 0  0      0 3694720 814384 2312772    0    0     0    17  172  426  0  0 100  0  0
 0  0      0 3694688 814388 2312980    0    0     0   104  206  511  0  0 100  0  0
 0  0      0 3694516 814336 2312876    0    0     0   135  233  556  1  0 99  0  0
 0  0      0 3692880 815576 2313920    0    0   254   130  187  460  0  0 99  0  0
 2  0      0 3690832 815576 2314000    0    0     0     8  174  436  0  0 99  0  0
 0  0      0 3692740 815580 2314036    0    0     0   149  189  462  0  0 100  0  0
 0  0      0 3693648 815136 2313512    0    0     1   103  179  412  0  0 100  0  0
 0  0      0 3693648 815128 2313524    0    0     0   115  176  416  0  0 100  0  0
 0  0      0 3693648 815124 2313544    0    0     0    72  179  413  0  0 100  0  0
 1  0      0 3693648 815120 2313548    0    0     0   108  180  428  0  0 100  0  0
 0  0      0 3693648 815124 2313548    0    0     0    14  171  426  0  0 100  0  0
 0  0      0 3693416 815132 2313640    0    0     0   130  193  465  0  0 100  0  0
 0  0      0 3693120 815132 2313560    0    0     0     7  176  440  0  0 99  0  0
 0  0      0 3693120 815132 2313560    0    0     0    86  171  433  0  0 100  0  0
 0  0      0 3693120 815132 2313560    0    0     0     8  166  414  0  0 100  0  0
 0  0      0 3693088 815116 2313576    0    0     0   146  182  447  0  0 100  0  0
 1  0      0 3693088 815116 2313576    0    0     0     4  171  421  0  0 100  0  0
 0  0      0 3693120 815116 2313576    0    0     0   111  182  450  0  0 100  0  0
 1  0      0 3693120 815116 2313560    0    0     0     8  167  406  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3693120 815104 2313588    0    0     0   114  170  409  0  0 100  0  0
 0  0      0 3693120 815104 2313588    0    0     0     4  163  402  0  0 100  0  0
 0  0      0 3693104 815104 2313588    0    0     0   108  172  428  0  0 100  0  0
 0  0      0 3693104 815108 2313584    0    0     0    14  162  411  0  0 100  0  0
 0  0      0 3693104 815092 2313560    0    0     0   128  181  453  0  0 100  0  0
 0  0      0 3693384 815080 2313572    0    0     0     9  174  428  0  0 100  0  0
 0  0      0 3693268 815072 2313760    0    0     0    83  267  760  0  1 99  0  0
 0  0      0 3693592 815068 2313716    0    0     0    12  177  446  0  0 100  0  0
 1  0      0 3693592 815048 2313756    0    0     0   130  176  434  0  0 100  0  0
 0  0      0 3693592 815052 2313756    0    0     0     4  161  410  0  0 100  0  0
 0  0      0 3693220 815036 2313772    0    0     0   109  178  436  0  0 100  0  0
 0  0      0 3693592 815036 2313760    0    0     0     8  153  372  0  0 100  0  0
 0  0      0 3693376 815032 2313880    0    0     0   115  174  434  0  0 100  0  0
 0  0      0 3693624 815032 2313616    0    0     0     9  224  576  0  0 99  0  0
 0  0      0 3693664 815032 2313724    0    0     0   120  183  449  0  0 100  0  0
 0  0      0 3693740 815032 2313668    0    0     0    14  187  485  0  0 99  0  0
 0  0      0 3693740 815024 2313680    0    0     0   128  174  424  0  0 100  0  0
 1  0      0 3693640 815016 2313864    0    0     0     8  182  471  0  1 99  0  0
 0  0      0 3693964 814988 2313748    0    0     0   106  223  602  0  1 99  0  0
 1  0      0 3693972 814980 2313804    0    0     0    19  225  688  1  1 99  0  0
 0  0      0 3693972 814980 2313804    0    0     0   130  161  411  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3694212 814976 2313956    0    0     0     4  194  549  0  0 100  0  0
 0  0      0 3693736 814976 2313728    0    0     0    99  191  590  0  0 99  0  0
 0  0      0 3694220 814976 2313744    0    0     0     7  150  374  0  0 100  0  0
 0  0      0 3694096 814968 2313824    0    0     0   115  147  386  0  0 100  0  0
 0  0      0 3694096 814964 2313828    0    0     0    16  150  386  0  0 100  0  0
 0  0      0 3694096 814956 2313836    0    0     0   108  180  412  0  0 100  0  0
 0  0      0 3694096 814944 2313848    0    0     0    14  161  409  0  0 100  0  0
 0  0      0 3693972 814944 2313852    0    0     0   122  157  409  0  0 100  0  0
 0  0      0 3694680 814944 2313848    0    0     0    21  195  510  0  0 99  0  0
 0  0      0 3694592 814936 2313864    0    0     0    85  202  547  0  0 99  0  0
 0  0      0 3694576 814924 2313820    0    0     0     8  169  418  0  0 100  0  0
 0  0      0 3694468 814924 2313920    0    0     0   173  178  455  0  0 100  0  0
 0  0      0 3694064 814912 2313936    0    0     0     4  172  449  0  0 100  0  0
 0  0      0 3693816 814900 2313956    0    0     0     8  166  417  0  0 100  0  0
 1  0      0 3693932 814900 2313964    0    0     0   124  170  438  0  0 100  0  0
 0  0      0 3693940 814896 2313968    0    0     0     5  151  365  0  0 100  0  0
 0  0      0 3693940 814896 2313968    0    0     0   140  157  398  0  0 100  0  0
 0  0      0 3693972 814892 2313972    0    0     0     6  153  377  0  0 100  0  0
 0  0      0 3693972 814884 2313980    0    0     0    14  158  403  0  0 100  0  0
